full_text,cleaning,case_folding,tokenize,filtering/stopword removal,stemming_data
Haaii aku jual netflix 1 bulan sebulan 20k aja lagi promo yuukk 1p2u ready 10 slot siap copas yaa! Ada Ice Cold juga nih baru tayang di Netflix ✨🥳  Yang less limit juga ada 1p1u 38k ajaa ready 5 lgsg copas juga 💗🦋,Haaii aku jual netflix  bulan sebulan k aja lagi promo yuukk pu ready  slot siap copas yaa Ada Ice Cold juga nih baru tayang di Netflix   Yang less limit juga ada pu k ajaa ready  lgsg copas juga ,haaii aku jual netflix  bulan sebulan k aja lagi promo yuukk pu ready  slot siap copas yaa ada ice cold juga nih baru tayang di netflix   yang less limit juga ada pu k ajaa ready  lgsg copas juga ,"['haaii', 'aku', 'jual', 'netflix', 'bulan', 'sebulan', 'k', 'aja', 'lagi', 'promo', 'yuukk', 'pu', 'ready', 'slot', 'siap', 'copas', 'yaa', 'ada', 'ice', 'cold', 'juga', 'nih', 'baru', 'tayang', 'di', 'netflix', 'yang', 'less', 'limit', 'juga', 'ada', 'pu', 'k', 'ajaa', 'ready', 'lgsg', 'copas', 'juga']","['haaii', 'jual', 'netflix', 'sebulan', 'k', 'aja', 'promo', 'yuukk', 'pu', 'ready', 'slot', 'copas', 'yaa', 'ice', 'cold', 'nih', 'tayang', 'netflix', 'less', 'limit', 'pu', 'k', 'ajaa', 'ready', 'lgsg', 'copas']",haaii jual netflix bulan k aja promo yuukk pu ready slot copas yaa ice cold nih tayang netflix less limit pu k ajaa ready lgsg copas
"Terlepas apakah yang dilakukan Netflix dengan menayangkan film dokumenter Ice Cold menggiring opini, yang pasti dalam film dokumenter tersebut yang diberikan adalah fakta.",Terlepas apakah yang dilakukan Netflix dengan menayangkan film dokumenter Ice Cold menggiring opini yang pasti dalam film dokumenter tersebut yang diberikan adalah fakta,terlepas apakah yang dilakukan netflix dengan menayangkan film dokumenter ice cold menggiring opini yang pasti dalam film dokumenter tersebut yang diberikan adalah fakta,"['terlepas', 'apakah', 'yang', 'dilakukan', 'netflix', 'dengan', 'menayangkan', 'film', 'dokumenter', 'ice', 'cold', 'menggiring', 'opini', 'yang', 'pasti', 'dalam', 'film', 'dokumenter', 'tersebut', 'yang', 'diberikan', 'adalah', 'fakta']","['terlepas', 'netflix', 'menayangkan', 'film', 'dokumenter', 'ice', 'cold', 'menggiring', 'opini', 'film', 'dokumenter', 'fakta']",lepas netflix tayang film dokumenter ice cold giring opini film dokumenter fakta
"Watched Ice Cold documentary on Netflix, the most suspicious person is Mirna’s father. And in the end, this documentary exposed the ways in which Indonesia’s judicial system is flawed.",Watched Ice Cold documentary on Netflix the most suspicious person is Mirnas father And in the end this documentary exposed the ways in which Indonesias judicial system is flawed,watched ice cold documentary on netflix the most suspicious person is mirnas father and in the end this documentary exposed the ways in which indonesias judicial system is flawed,"['watched', 'ice', 'cold', 'documentary', 'on', 'netflix', 'the', 'most', 'suspicious', 'person', 'is', 'mirnas', 'father', 'and', 'in', 'the', 'end', 'this', 'documentary', 'exposed', 'the', 'ways', 'in', 'which', 'indonesias', 'judicial', 'system', 'is', 'flawed']","['watched', 'ice', 'cold', 'documentary', 'on', 'netflix', 'the', 'most', 'suspicious', 'person', 'is', 'mirnas', 'father', 'and', 'in', 'the', 'end', 'this', 'documentary', 'exposed', 'the', 'ways', 'in', 'which', 'indonesias', 'judicial', 'system', 'is', 'flawed']",watched ice cold documentary on netflix the most suspicious person is mirnas father and in the end this documentary exposed the ways in which indonesias judicial system is flawed
Ice Cold on Netflix is so good,Ice Cold on Netflix is so good,ice cold on netflix is so good,"['ice', 'cold', 'on', 'netflix', 'is', 'so', 'good']","['ice', 'cold', 'on', 'netflix', 'is', 'so', 'good']",ice cold on netflix is so good
"https://t.co/dBHtffcYLr People who have already watch Netflix Documenter Ice Cold:Murder, Coffee, and Jessica Wongso should read this to get insight from another viewpoint""",httpstcodBHtffcYLr People who have already watch Netflix Documenter Ice ColdMurder Coffee and Jessica Wongso should read this to get insight from another viewpoint,httpstcodbhtffcylr people who have already watch netflix documenter ice coldmurder coffee and jessica wongso should read this to get insight from another viewpoint,"['httpstcodbhtffcylr', 'people', 'who', 'have', 'already', 'watch', 'netflix', 'documenter', 'ice', 'coldmurder', 'coffee', 'and', 'jessica', 'wongso', 'should', 'read', 'this', 'to', 'get', 'insight', 'from', 'another', 'viewpoint']","['httpstcodbhtffcylr', 'people', 'who', 'have', 'already', 'watch', 'netflix', 'documenter', 'ice', 'coldmurder', 'coffee', 'and', 'jessica', 'wongso', 'should', 'read', 'this', 'to', 'get', 'insight', 'from', 'another', 'viewpoint']",httpstcodbhtffcylr people who have already watch netflix documenter ice coldmurder coffee and jessica wongso should read this to get insight from another viewpoint
lebih detailnya lagi setelah netflix #Icecoldnetflix https://t.co/sfAsstDvME,lebih detailnya lagi setelah netflix Icecoldnetflix httpstcosfAsstDvME,lebih detailnya lagi setelah netflix icecoldnetflix httpstcosfasstdvme,"['lebih', 'detailnya', 'lagi', 'setelah', 'netflix', 'icecoldnetflix', 'httpstcosfasstdvme']","['detailnya', 'netflix', 'icecoldnetflix', 'httpstcosfasstdvme']",detail netflix icecoldnetflix httpstcosfasstdvme
"Penjelasan Dokter Ahli Sianida yang tampil dalam dokumeter Netflix Ice Cold"" https://t.co/KVORpJhcv5""",Penjelasan Dokter Ahli Sianida yang tampil dalam dokumeter Netflix Ice Cold httpstcoKVORpJhcv,penjelasan dokter ahli sianida yang tampil dalam dokumeter netflix ice cold httpstcokvorpjhcv,"['penjelasan', 'dokter', 'ahli', 'sianida', 'yang', 'tampil', 'dalam', 'dokumeter', 'netflix', 'ice', 'cold', 'httpstcokvorpjhcv']","['penjelasan', 'dokter', 'ahli', 'sianida', 'tampil', 'dokumeter', 'netflix', 'ice', 'cold', 'httpstcokvorpjhcv']",jelas dokter ahli sianida tampil dokumeter netflix ice cold httpstcokvorpjhcv
"And that's kid, is how your mother procrastinated her work and decided to dedicate a 1,5 confusing hour to watch Ice Cold documentary on Netflix 😂",And thats kid is how your mother procrastinated her work and decided to dedicate a  confusing hour to watch Ice Cold documentary on Netflix ,and thats kid is how your mother procrastinated her work and decided to dedicate a  confusing hour to watch ice cold documentary on netflix ,"['and', 'thats', 'kid', 'is', 'how', 'your', 'mother', 'procrastinated', 'her', 'work', 'and', 'decided', 'to', 'dedicate', 'a', 'confusing', 'hour', 'to', 'watch', 'ice', 'cold', 'documentary', 'on', 'netflix']","['and', 'thats', 'kid', 'is', 'how', 'your', 'mother', 'procrastinated', 'her', 'work', 'and', 'decided', 'to', 'dedicate', 'a', 'confusing', 'hour', 'to', 'watch', 'ice', 'cold', 'documentary', 'on', 'netflix']",and thats kid is how your mother procrastinated her work and decided to dedicate a confusing hour to watch ice cold documentary on netflix
woi beli netflix dmn yg murce bokap gua mau nonton ice cold wkwk,woi beli netflix dmn yg murce bokap gua mau nonton ice cold wkwk,woi beli netflix dmn yg murce bokap gua mau nonton ice cold wkwk,"['woi', 'beli', 'netflix', 'dmn', 'yg', 'murce', 'bokap', 'gua', 'mau', 'nonton', 'ice', 'cold', 'wkwk']","['woi', 'beli', 'netflix', 'dmn', 'yg', 'murce', 'bokap', 'gua', 'nonton', 'ice', 'cold', 'wkwk']",woi beli netflix dmn yg murce bokap gua nonton ice cold wkwk
"pgn beli Netflix lg buat nntn ice cold, soalnya di fyp banyak pak Karni lucu",pgn beli Netflix lg buat nntn ice cold soalnya di fyp banyak pak Karni lucu,pgn beli netflix lg buat nntn ice cold soalnya di fyp banyak pak karni lucu,"['pgn', 'beli', 'netflix', 'lg', 'buat', 'nntn', 'ice', 'cold', 'soalnya', 'di', 'fyp', 'banyak', 'pak', 'karni', 'lucu']","['pgn', 'beli', 'netflix', 'lg', 'nntn', 'ice', 'cold', 'fyp', 'karni', 'lucu']",pgn beli netflix lg nntn ice cold fyp karni lucu
